User_ID,Doc_ID,Inter-Stroke time,Stroke Duration,Start X,Start Y,Stop X,Sop Y,Direct end-to-end Distance,Mean resulant length,WSAD Flag,Direction of end-to-end Time,Phone_ID,20 per pairwise velocity,50 per pairwise velocity,80 per pairwise velocity,20 per pairwise acc,50 per pairwise acc,80 per pairwise acc,Median velocity at last 3pts,Largest deviation from end-to-end line,20 per dev line,50 per dev line,80 per dev line,Average Direction,Length of Trajectory,Ratio dist and length of trajectory,Average velocity,Median acceleration at first 5 pts,Mid-Stroke pressure,Mid-Stroke area covered,Mid-Stroke finger orientation,Change of finger orientation,Phone orientation
30,5,0.749,0.23,30.088,-42.079,12.645,-31.832,20.229,0.6908,4,2.6104,2,22.817,90.003,136.12,-3877.5,-1135.2,3371.8,122.24,-1.4299,-1.3106,-0.63327,0,2.6456,20.704,0.9771,90.016,1120.7,0.2,0.044444,0,0,1
41,5,0.876,0.571,6.1047,-54.615,28.234,-51.345,22.37,0.9689,2,0.14672,2,22.926,44.464,83.184,-1424.2,-156.61,1394.7,74.715,-1.0795,-0.95209,-0.63642,4.4409E-17,0.23343,22.713,0.98488,39.778,553.22,0.6,0.17778,0,0,1
40,5,3.807,0.108,31.952,-36.286,8.1643,-45.861,25.642,0.30228,4,-2.7589,1,0,319.42,1275.1,-96191,-9813.3,629650,319.42,0.95483,0,0,0.76569,-2.3332,25.727,0.99669,238.22,0,0.35,0.044444,0,0,1
38,5,0.435,0.171,26.49,-33.14,8.83,-42.733,20.097,0.6284,4,-2.644,2,37.357,134.13,173.75,-3355.6,-83.247,3697.3,148.32,0.18449,-0.039736,0,0.18035,-2.5192,20.11,0.99935,117.61,-83.247,0.42,0.11111,0,0,1
18,5,4.824,0.202,17.236,-28.827,3.3262,-37.596,16.443,0.78853,4,-2.5791,3,36.595,82.178,121.39,-6990.4,17.52,852.36,54.914,1.5236,0,0.41334,1.2497,-2.5285,16.857,0.97542,83.452,750.44,0.69,0.044444,0,0,1
28,5,0.315,0.156,34.339,-26.708,9.0481,-32.05,25.849,0.59188,4,-2.9334,2,6.8133,232.92,301.42,-4695.2,-291.08,13421,265.85,1.9539,0,0.022527,1.4882,-3.0419,26.193,0.98686,167.9,-291.08,0.55,0.17778,0,0,1
16,4,3.125,0.187,4.6365,-31.347,27.517,-23.082,24.327,0.99043,2,0.34665,3,25.524,106.34,277.76,-10490,-2046.5,43674,50.028,-0.21883,-0.045478,0,0.064396,0.29308,24.365,0.99846,130.29,-1169.1,0.54,0.044444,0,0,1
28,4,0.349,0.107,28.234,-30.197,10.683,-30.96,17.568,0.49595,4,-3.0981,2,46.282,155.06,341.86,-7960.1,-5776.8,15461,155.06,0.78131,0,0,0.69844,-3.109,17.658,0.99487,165.03,-5776.8,0.58,0.17778,0,0,1
23,4,0.734,0.108,5.5597,-33.903,24.31,-30.633,19.033,0.99709,2,0.17268,4,59.93,250.17,326.33,-5783.8,-3356.3,1612.9,250.17,-0.10489,-0.052447,4.4409E-16,0.004995,0.13002,19.036,0.99988,176.25,-3356.3,0.19608,0.066667,0,0,1
3,3,1.11,0.645,17.034,-36.991,17.034,-31.246,5.7452,0.64856,3,1.5708,3,0,0,10.079,-700.44,0,606.76,0,-0.10079,-0.10079,-0.10079,0,0.43052,6.5406,0.8784,10.14,851.17,0.69,0.044444,0,0,1
34,3,0.989,0.424,15.371,-45.349,15.589,-41.098,4.2571,0.78629,3,1.5196,2,0,6.8133,27.253,-312.44,-61.164,411.24,1.7033,0.092121,0,0.013958,0.035452,1.1891,4.2734,0.99619,10.079,0.0084604,0.44,0.15556,0,0,1
28,3,1.675,1.257,19.731,-37.827,23.329,-27.253,11.169,0.86277,3,1.2429,2,5.9606,9.0843,16.407,-621.56,-27.203,598.88,3.0833,0.36919,-0.080861,0.038302,0.26195,1.1595,11.843,0.94309,9.422,301.85,0.56,0.17778,0,0,1
1,3,3.677,2.23,26.163,-29.87,26.163,-24.092,5.7777,0.66952,3,1.5708,2,0,3.6338,7.2221,-216.78,0,314.75,0,0.32704,0.10901,0.32704,0.32704,0.955,6.3669,0.90746,2.8551,129.62,0.53,0.15556,0,0,1
5,3,0.438,0.193,22.376,-39.108,22.88,-22.477,16.639,0.8042,3,1.5405,3,4.989,45.816,212.32,-11186,-452.9,66337,30.956,-0.35109,-0.27385,-0.1786,1.1102E-17,1.3381,16.731,0.9945,86.687,671.52,0.43,0.044444,0,0,1
35,3,2.945,2.515,11.591,-40.922,10.886,-30.44,10.506,0.60273,3,1.638,3,0,5.3049,9.1631,-680.43,0,690.99,0,0.39743,0.1141,0.205,0.26882,0.98626,12.94,0.81194,5.145,511.07,0.61,0.044444,0,0,1
2,3,0.624,0.474,7.4129,-7.8489,8.285,-14.281,6.4906,0.70274,1,-1.436,2,0.2907,7.7865,42.451,-506.42,-75.755,420.5,1.8795,-0.57308,-0.3671,-0.20598,-0.044308,-1.3306,6.8571,0.94655,14.467,2111.5,0.54,0.13333,1.5708,0,2
7,3,1.267,0.697,28.67,-35.429,33.249,-22.893,13.346,0.87238,3,1.2206,2,6.0562,12.188,48.092,-690.57,-18.763,1199.3,71.537,-1.2332,-0.6955,-0.38243,-0.26784,1.176,14.002,0.95316,20.089,61.17,0.42,0.13333,0,0,1
25,3,1.58,1.114,54.288,-12.318,51.345,-17.442,5.9089,0.1811,1,-2.0922,2,5.7375,11.638,33.175,-866.73,-44.523,1414.4,8.0077,1.5486,-0.23551,-0.038213,0.21459,0.29154,16.82,0.3513,15.099,2025.7,0.65,0.17778,-1.5708,0,2
17,2,0.679,0.267,21.469,-42.636,28.625,-34.169,11.086,0.9133,3,0.86907,1,9.0274,39.16,64.887,-1390.1,139.79,1753.6,60.927,0.80003,-0.032533,0.045821,0.30059,0.65095,11.38,0.97413,42.623,771.48,0.36,0.044444,0,0,1
33,2,1.317,0.903,22.981,-20.562,24.694,-15.421,5.4185,0.41598,3,1.249,5,0,8.9622,92.46,-1719.6,-174.99,773.35,2.0999,2.8368,-0.13068,0.89247,2.6136,0.32795,47.478,0.11413,52.578,-2440.9,0.16078,0.16667,0,0,1
13,2,5.913,3.898,23.687,-37.999,33.262,-16.631,23.416,0.74757,3,1.1495,1,0,5.5996,11.283,-699.95,0,699.95,2.0159,-1.9845,-0.74609,0.28722,1.1856,0.6246,27.722,0.84465,7.112,223.63,0.41,0.044444,0,0,1
13,2,0.673,0.376,31.851,-28.827,28.726,-43.14,14.65,0.89806,1,-1.7857,1,10.554,40.631,112.69,-3658.8,211.48,51506,29.859,0.8197,0.15479,0.4147,0.65534,-1.831,14.928,0.98136,39.702,-611.83,0.51,0.044444,0,0,1
35,2,2.542,2.12,22.275,-37.898,23.485,-30.843,7.1585,0.71569,3,1.401,3,0,0,9.1629,-498.58,0,350.76,0,-0.26965,-0.21856,-0.14476,0,0.48854,8.5583,0.83644,4.0369,0,0.63,0.044444,0,0,1
28,2,3.346,2.907,9.5931,-41.752,4.9056,-29.433,13.18,0.57214,3,1.9344,2,0,5.7376,9.6354,-450.29,-0.0038505,482.91,0,1.109,0.41782,0.81148,1.0013,1.3619,14.783,0.89159,5.0852,-365.84,0.46,0.13333,0,0,1
33,2,1.204,0.908,9.777,-11.994,12.801,-4.4349,8.1419,0.90864,3,1.1903,5,5.0397,9.0891,24.624,-647.85,2.2204E-12,528.47,1.6257,0.37434,-0.074868,0.037434,0.26017,1.1544,8.4892,0.95908,9.3494,318.3,0.1451,0.2,0,0,1
36,2,4.259,2.268,29.979,-25.836,28.125,-14.281,11.703,0.62541,3,1.7298,4,0,6.4125,12.825,-396.46,0,374.94,0,0.36759,-2.2204E-16,0.13201,0.21731,1.2412,13.053,0.89658,5.7552,68.907,0.11765,0.066667,0,0,1
17,2,0.889,0.441,17.74,-39.209,18.647,-33.363,5.916,0.80392,3,1.4169,1,5.1945,12.959,34.27,-1794.5,-109.51,6659.7,16.413,-0.11506,-0.071954,-0.033487,0.0015455,1.3239,6.2646,0.94436,14.205,473.21,0.51,0.044444,0,0,1
21,1,8.758,1.747,2.923,-46.365,1.2095,-30.137,16.318,0.86334,3,1.676,3,4.5816,9.163,13.503,-338.15,0,287.66,12.249,-0.79691,-0.17607,-0.060391,0,1.5975,17.231,0.947,9.8634,0,0.64,0.044444,0,0,1
2,1,0.84,0.589,1.4172,-50.037,3.7064,-45.785,4.8287,0.76561,3,1.0769,2,0,7.3045,12.829,-562.59,0,426.38,3.6337,0.7088,0.13733,0.30271,0.63275,0.98778,5.3109,0.90919,9.0169,11.405,0.31,0.11111,0,0,1
23,1,1.025,0.14,23.983,-42.188,24.637,-31.396,10.812,0.86636,3,1.5103,4,86.76,101.39,123.46,-1957.9,-815.24,727.82,99.215,-0.76829,-0.75312,-0.50285,0,1.3388,10.973,0.98531,78.381,-338.91,0.17647,0.13333,0,0,1
19,1,3.88,3.086,24.493,-46.264,26.71,-13.406,32.933,0.84821,3,1.5034,1,5.0157,9.4469,19.199,-505.5,-35.172,471.17,23.991,-0.81624,-0.42089,-0.1419,-0.036401,1.3439,34.033,0.96768,11.028,0,0.53,0.044444,0,0,1
16,1,9.082,2.475,21.368,-28.121,25.4,-2.2175,26.216,0.84909,3,1.4164,3,4.7997,9.1631,18.608,-513.29,-0.0090273,301.17,1.7887,1.1033,-0.077505,0.27689,0.93313,1.2952,27.614,0.94937,11.157,-139.98,0.33,0.044444,0,0,1
38,1,15.427,0.496,24.201,-39.354,23.22,-27.362,12.031,0.91603,3,1.6524,2,9.3945,19.238,45.387,-1642.6,-36.653,1453.1,13.94,-0.724,-0.63659,-0.47905,-0.18915,1.5946,12.346,0.97451,24.892,347.58,0.32,0.088889,0,0,1
16,5,0.789,0.187,7.9627,-28.323,28.625,-23.283,21.268,0.97003,2,0.23923,3,0.97824,109.02,3919,-89088,-2196.3,930610,109.02,-0.45618,-0.43468,-0.074039,0,0.2647,21.314,0.99787,113.98,-2196.3,0.41,0.044444,0,0,1
18,5,0.363,0.158,17.236,-27.416,2.7214,-36.185,16.958,0.70267,4,-2.5981,3,38.848,122.82,175.34,-14346,-1229.9,12796,98.721,1.6769,0,0.3325,1.0832,-2.5195,17.449,0.97186,110.43,-671.87,0.72,0.044444,0,0,1
27,5,0.283,0.106,19.252,-31.649,2.2175,-33.967,17.191,0.59087,4,-3.0063,3,33.144,170.09,230.28,-44144,-3357.3,16689,175.22,1.1559,0,0.17463,0.89903,-3.135,17.371,0.98965,163.88,-3357.3,0.6,0.044444,0,0,1
27,5,1.693,0.127,6.6524,-27.617,28.827,-25.098,22.317,0.99048,2,0.11315,3,30.215,136.05,267.26,-27960,-5030.5,25209,136.05,-0.64186,-0.55583,-0.12063,0,0.12796,22.424,0.99526,176.56,-5030.5,0.6,0.044444,0,0,1
15,5,0.334,0.133,17.987,-42.624,29.215,-38.7,11.894,0.98491,2,0.33624,4,20.136,157.44,307.3,-6242,-3542.1,-1494,157.44,-0.60046,-0.46858,0,0,0.24468,11.969,0.99377,89.992,-3542.1,0.29608,0.14444,0,0,1
14,4,1.246,0.11,14.01,-31.145,26.106,-30.54,12.11,0.99944,2,0.049958,5,6.5028,208.74,260.46,-6780.3,-1084.4,11614,225.37,-0.080534,-0.02416,0,0.030704,0.032187,12.115,0.99965,110.13,-1084.4,0.1451,0.1,0,0,1
3,4,1.271,0.043,21.066,-31.851,7.2571,-32.96,13.853,0.20519,4,-3.0615,3,0,0,5311.8,-1759500,-544060,5151800,1632.2,0.48842,0,0,0.14653,-0.16457,13.888,0.99751,322.97,-544060,0.65,0.044444,0,0,1
31,4,0.324,0.09,20.26,-27.416,12.599,-26.912,7.6769,0.19956,4,3.0759,5,0,76.945,218.16,-10612,-2257.1,17679,89.217,0.20645,0,0,0.14438,2.9936,7.694,0.99778,85.489,-2257.1,0.16078,0.13333,0,0,1
40,3,2.636,1.982,24.594,-43.845,28.323,-30.137,14.206,0.80286,3,1.3052,1,2.0617,7.8362,13.581,-518.13,0,739.86,6.6624,-0.89607,-0.71292,-0.58069,-0.30837,1.113,15.304,0.92828,7.7214,546.71,0.63,0.044444,0,0,1
31,3,2.968,2.783,19.957,-25.904,22.477,-25.098,2.6457,0.5243,2,0.3097,5,2.1821,6.7196,15.937,-429.11,0,356.47,0,9.8686,2.2272,5.063,7.812,0.77663,27.268,0.097026,9.7981,182.9,0.14118,0.2,0,0,1
21,3,0.611,0.365,19.252,-48.583,21.57,-37.999,10.834,0.94041,3,1.3552,3,15.46,30.575,46.585,-3472.8,-100.22,289.39,23.475,-0.70703,-0.61729,-0.33945,-0.030007,1.314,11.055,0.98005,30.287,-1814.7,0.75,0.044444,0,0,1
6,3,986.59,0.274,19.554,-34.572,22.679,-22.779,12.2,0.74222,3,1.3118,1,9.7267,36.357,238.88,-16092,194.06,145350,40.447,-1.2133,-1.1423,-0.64205,-0.019486,1.3669,13.052,0.93473,47.634,194.06,0.535,0.066667,0,0,1
17,3,8.32,1.181,16.631,-38.604,17.135,-33.867,4.764,0.67558,3,1.4648,1,0,0,10.079,-444.32,0,447.39,0,-0.55659,-0.41968,-0.31774,-0.28384,0.59986,5.8835,0.80973,4.9818,311.1,0.65,0.044444,0,0,1
7,3,0.597,0.247,22.784,-29.652,21.694,-43.387,13.779,0.80457,1,-1.65,2,6.5156,31.863,141.08,-1775.5,-236.2,6894.2,7.5559,0.58993,0,0.17163,0.44072,-1.1983,14.006,0.98377,56.705,-844.25,0.6,0.17778,0,0,1
7,2,15.359,1.154,26.599,-19.077,25.727,-36.846,17.79,0.81645,1,-1.6198,2,1.1562,10.931,32.023,-733.79,-0.022283,452.9,0,0.96992,0.016032,0.16566,0.88328,-1.3451,18.008,0.98795,15.604,281.84,0.5,0.12222,0,0,1
35,2,5.141,4.374,16.933,-44.652,25.702,-27.819,18.98,0.26815,3,1.0905,3,5.0662,11.269,28.475,-701.96,-18.147,699.95,9.279,9.7725,-3.144,-0.12365,3.6396,0.26804,65.748,0.28867,15.032,750.86,0.72,0.044444,0,0,1
15,2,2.519,0.254,21.476,-40.444,31.396,-30.851,13.8,0.9578,2,0.76864,4,48.482,63.227,69.737,-1567.1,-44.879,938.71,67.807,-1.1772,-0.91919,-0.63811,-0.049602,0.71135,14.114,0.97773,55.568,-98.141,0.25098,0.1,0,0,1
35,2,2.098,0.758,8.8698,-40.418,7.3579,-35.278,5.3582,0.57366,3,1.8568,3,0,5.5997,13.578,-756.75,0,699.95,7.7638,0.26165,-0.011945,0.034129,0.09101,1.2292,6.0411,0.88696,7.9698,-538.37,0.49,0.044444,0,0,1
2,1,1.199,0.78,5.7777,-41.098,6.6498,-37.827,3.3847,0.74412,3,1.3102,2,0,5.2029,11.012,-350.63,-63.089,343.14,0.6338,0.20364,-0.025982,0.10533,0.1601,1.0471,3.8392,0.88162,4.922,-306.23,0.39,0.13333,0,0,1
24,1,1.183,0.703,29.761,-42.842,34.121,-35.102,8.8837,0.90631,3,1.0577,2,6.0183,11.012,36.4,-1173.2,-104.82,1713.9,7.2353,-0.61401,-0.47101,-0.26219,-0.022206,1.0564,9.2928,0.95598,13.219,545.07,0.24,0.066667,0,0,1
2,1,1.598,0.967,5.7777,-46.767,6.3227,-42.406,4.3944,0.75772,3,1.4464,2,0,5.7375,13.172,-429.86,-49.808,333.02,2.6581,0.21634,0.060846,0.10817,0.14874,1.0937,4.7016,0.93467,4.8621,2.7756E-11,0.33,0.088889,0,0,1
33,1,2.11,0.683,23.384,-43.744,21.671,-34.471,9.43,0.83662,3,1.7535,5,3.6748,8.7813,18.479,-1717.4,-49.161,388.05,1.4848,-0.75845,-0.61516,-0.26395,-0.1463,1.4464,9.7373,0.96844,14.257,37.329,0.13725,0.16667,0,0,1
14,1,2.015,1.338,24.09,-35.883,25.803,-10.18,25.759,0.86896,3,1.5042,5,4.2291,17.12,46.32,-1066.4,-8.1869,734.98,29.659,-2.0718,-1.3497,-0.61683,-0.56118,1.353,26.43,0.97461,19.754,268.95,0.10196,0.1,0,0,1
31,1,2.167,1.63,13.002,-42.837,16.833,-31.145,12.303,0.7861,3,1.2542,5,4.7997,7.7107,15.053,-403.46,-1.7941E-11,383.29,0,2.829,0.40643,1.4748,2.1956,1.0547,14.721,0.83575,9.0315,541.29,0.20392,0.31667,0,0,1
23,5,1.24,0.042,13.736,-45.894,23.111,-44.913,9.4263,0.99864,2,0.10427,4,0,294.57,589.14,-22659,-22659,-22659,294.57,-1.1102E-16,-1.1102E-16,-1.1102E-16,-1.1102E-17,0.052136,9.4263,1,224.44,-22659,0.13922,0.055556,0,0,1
20,5,0.367,0.157,22.675,-47.094,0.54506,-46.112,22.151,0.56822,4,3.0973,2,73.135,198.54,214.79,-3297.5,-1715.9,-496.39,172.4,1.8922,0,0.35837,1.2864,3.1243,22.774,0.97264,145.06,-1715.9,0.5,0.13333,0,0,1
7,5,1.238,0.091,14.499,-38.7,32.595,-40.226,18.16,0.9961,2,-0.084138,2,7.1137,71.137,10734,-11917000,-34150,11849000,71.137,-0.85724,-0.60007,0,0,-0.034755,18.25,0.99511,200.54,-34150,0.63,0.17778,0,0,1
17,5,0.307,0.138,6.9548,-37.294,29.936,-31.347,23.738,0.9805,2,0.25322,1,14.964,122.57,218.66,-54216,104.44,9179.8,170.04,-1.0507,-0.82844,-0.11941,8.8818E-16,0.34513,23.881,0.99402,173.05,104.44,0.8,0.066667,0,0,1
31,5,0.342,0.121,8.8698,-34.875,23.586,-30.742,15.285,0.9873,2,0.27377,5,0,140.21,299.88,-6931.9,979.12,10162,266.48,-0.54369,-0.34808,-4.4409E-16,0,0.20374,15.33,0.99704,126.7,979.12,0.18431,0.23333,0,0,1
11,5,0.956,0.147,27.718,-33.967,15.724,-37.697,12.561,0.55896,4,-2.8401,3,1.5915,74.123,130.08,-37270,-806.15,1403.8,94.477,-0.52087,-0.38944,-0.027904,0.014963,-2.7504,12.627,0.99477,85.897,613.12,0.71,0.044444,0,0,1
30,5,23.082,0.0039999,23.983,-37.827,11.337,-35.211,12.913,0.32548,4,2.9376,2,251.28,2512.8,7611,-8178100,-1257200,5663800,2512.8,-1.3362,-0.93537,2.2204E-16,4.4409E-16,2.8349,13.204,0.97798,3301.1,-1257200,0.42,0.13333,0,0,1
18,4,0.44,0.236,21.469,-28.726,6.9548,-34.371,15.573,0.83638,4,-2.7707,3,30.074,62.443,91.087,-9903.8,-584.36,8344.2,35.099,0.62627,-0.13099,0,0.44622,-2.6817,15.67,0.99381,66.399,403.8,0.65,0.044444,0,0,1
36,4,0.406,0.18,28.997,-39.899,7.5219,-44.041,21.871,0.70352,4,-2.951,4,50.396,169.59,190.15,-2740.2,-145.85,3667,113.25,0.55096,0,0.43006,0.52868,-2.9451,22.005,0.99395,122.25,509.92,0.16078,0.088889,0,0,1
7,4,0.286,0.081,15.589,-32.377,0.76309,-35.647,15.182,0.49957,4,-2.9245,2,88.645,303.41,370.02,-8717.7,-7120.6,179.37,303.41,1.362,-4.4409E-16,0,1.1459,-2.7783,15.441,0.98325,190.63,-7120.6,0.68,0.17778,0,0,1
41,4,1.711,0.148,7.6309,-55.27,18.096,-53.634,10.592,0.99497,2,0.155,2,19.455,126.46,141.54,-2087.4,458.03,3295.6,126.46,0.42746,-0.0023561,0,0.37293,0.13319,10.64,0.99551,71.892,458.03,0.42,0.12222,0,0,1
4,4,0.453,0.262,14.172,-30.197,34.666,-34.23,20.888,0.96888,2,-0.19432,2,20.246,92.622,119.44,-2312.3,-1309.8,3670.5,54.029,-1.3057,-0.80625,-0.03499,0.026001,-0.23492,21.21,0.98479,80.955,-905.57,0.71,0.17778,0,0,1
23,4,1.497,0.065,10.901,-40.662,21.694,-36.737,11.484,0.98604,2,0.34877,4,35.082,350.82,1278.5,-60636,-34304,-7973.2,350.82,-0.19559,-0.13691,0,0,0.23387,11.49,0.99942,176.77,-34304,0.16471,0.044444,0,0,1
20,4,1.64,0.088,22.348,-41.425,1.6352,-38.809,20.877,0.6596,4,3.0159,2,149.34,221.79,1459.1,-77817,-7808.5,184400,221.79,1.2136,0,0.87092,1.2105,3.0013,21.12,0.98848,240,-7808.5,0.64,0.16667,0,0,1
15,4,2.536,0.074,19.513,-50.909,27.689,-47.53,8.8468,0.97287,2,0.39195,4,51.1,176.98,2252.4,-156920,-4590.7,2671500,176.98,-0.67836,-0.61992,0,0,0.30184,8.9857,0.98455,121.43,-4590.7,0.1451,0.077778,0,0,1
19,4,3.751,0.368,7.2571,-34.875,29.633,-30.339,22.831,0.95958,2,0.19999,1,32.254,64.016,193.95,-10024,508.64,76960,79.197,-1.662,-1.6097,-0.92777,-0.18222,0.27303,23.317,0.97915,63.363,811.8,0.71,0.044444,0,0,1
38,3,0.888,0.396,20.494,-43.387,20.821,-48.838,5.4604,0.83609,1,-1.5109,2,6.4125,10.876,30.996,-455.18,0,622.31,12.509,0.46356,0.058544,0.14146,0.30578,-1.3005,5.6942,0.95894,14.379,242.69,0.43,0.088889,0,0,1
6,3,0.963,0.342,7.2571,-36.689,5.7452,-28.525,8.3031,0.89291,3,1.7539,1,14.073,22.398,203.16,-10592,-138.21,69620,30.887,0.99476,0.034872,0.70661,0.92611,1.671,8.8976,0.93318,26.016,-77.204,0.49,0.044444,0,0,1
29,2,15.489,1.866,30.137,-29.331,29.533,-27.92,1.5352,0.15347,3,1.9757,5,1.494,5.0908,14.879,-139.38,0,65.745,0,2.6867,0.2197,1.2838,2.5159,0.21229,10.245,0.14986,5.4901,-649.94,0.078431,0.083333,0,0,1
30,2,9.056,0.493,24.746,-31.941,26.163,-11.119,20.87,0.94687,3,1.5028,2,25.732,46.72,101.9,-4243.2,44.212,15568,66.47,-0.9948,-0.86303,-0.67164,-0.0066623,1.4675,21.104,0.98891,42.807,929.31,0.43,0.13333,0,0,1
23,2,0.813,0.449,24.637,-48.075,28.779,-29.979,18.564,0.93839,3,1.3458,4,23.445,54.731,65.127,-653.9,-217.11,1051.4,22.733,-1.4493,-1.2311,-0.92373,-0.25132,1.2351,19.007,0.97668,42.333,-11.227,0.23137,0.088889,0,0,1
2,2,3.27,0.499,3.7064,-17.987,4.0335,-12.645,5.3516,0.71259,3,1.5096,2,0.57375,8.4276,14.938,-563.55,0,556.19,3.8933,0.40637,0.1208,0.25093,0.37639,1.2784,5.7775,0.92628,11.578,-167.35,0.67,0.14444,1.5708,0,2
11,2,1.386,0.849,24.896,-34.068,29.029,-11.894,22.556,0.94595,3,1.3865,3,13.858,25.086,49.215,-1037.2,28.63,459.76,22.642,-2.3371,-2.0079,-1.3742,-0.71793,1.3262,23.345,0.96621,27.497,-211.13,0.61,0.044444,0,0,1
38,2,1.925,0.913,9.0481,-48.729,9.3751,-40.88,7.8557,0.72574,3,1.5292,2,0,6.8133,21.208,-676.6,-10.533,356.97,0.72675,0.099842,5.5511E-17,0.018153,0.062174,1.1563,8.1027,0.96952,8.8748,2333.7,0.32,0.088889,0,0,1
7,2,2.39,1.2,28.452,-38.373,29.542,-24.31,14.105,0.87984,3,1.4934,2,6.0563,10.901,21.345,-478.48,2.9509E-08,420.97,9.3439,-1.4669,-1.4197,-1.3304,-0.92047,1.4032,14.954,0.94319,12.462,-148.98,0.5,0.13333,0,0,1
6,1,2.974,1.375,7.2571,-38.201,7.3579,-32.355,5.8469,0.60443,3,1.5536,1,0,5.6169,10.079,-694.74,0,601.78,6.8287,0.7124,0.34108,0.49868,0.59946,0.6484,7.8646,0.74345,5.7197,91.625,0.52,0.044444,0,0,1
17,1,3.311,2.897,18.344,-43.24,19.352,-34.27,9.0271,0.70139,3,1.4589,1,0,0,8.3996,-566.9,0,516.76,0,-0.60436,-0.46255,-0.32975,-0.22137,0.43897,11.539,0.78228,3.9832,0,0.65,0.044444,0,0,1
7,1,6.867,2.884,23.874,-29.433,24.855,-43.06,13.662,0.48357,1,-1.4989,2,0,2.4225,28.866,-230.32,0,284.72,9.3362,1.3726,0.23616,0.66022,0.89255,-0.65043,16.675,0.81932,5.7818,-1410.2,0.56,0.15556,0,0,1
